degrees fahrenheit	f
degrees celsius	c
kilometers	km
meters	m
centimeters	cm
millimeters	mm
hectares	ha
miles	mi
square meters	m²
square kilometers	km²
foots	ft
percents	%
hertzes	hz
kilowatts	kw
milligrams	mg
kilograms	kg
gigahertzes	ghz
kilohertzes	khz
megahertzes	mhz
pounds	ld
volts	v
hours	h
mega coulombs	mc
seconds	s
nanometers	nm
revolutions per minute	rpm
minutes	min
milli amperes	mA
per cents	%
kilo watt hours	kwh
cubic meters	m³
miles per hour	mph
tera watts	tw
milli volts	mv
megawatts	mw
micrometers	μm
inches	\"
terabytes	tb
grams	g
daltons	da
atmospheres	atm
ohms	ω
decibels	db
peta seconds	ps
ounces	oz
hecto liters	hl
micrograms	μg
petagrams	pg
gigabytes	gb
kilobits	kb
electron volts	ev
megabytes	mb
kilobytes	kb
kilobits per second	kbps
megabits per second	mbps
stones	st
kilo liters	kl
tera joules	tj
kilo volts	kv
mega volts	mv
kilonewtons	kn
megameters	mm
astronomical units	au
yards	yd
radians	rad
lumen	lm
hecto seconds	hs
moles	mol
giga pascals	gpa
milliliters	ml
gigawatts	gw
mega amperes	ma
knots	kt
kilograms force	kgf
nano grams	ng
nanoseconds	ns
mega siemens	ms
bars	bar
giga liters	gl
microseconds	μs
deci amperes	da
pascals	pa
deci seconds	ds
milli seconds	ms
deci meters	dm
cubic deci meters	dm³
atomic mass units	amu
megabits	mb
mega farads	mf
becquerels	bq
petabits	pb
square millimeters	mm²
square centimeters	cm²
square miles	sq mi
square foots	sq ft
kilopascals	kpa
candelas	cd
tera liters	tl
mega seconds	ms
megapascals	mpa
peta meters	pm
peta bytes	pb
giga watt hours	gwh
kilo calories	kcal
grays	gy
sieverts	sv
hundredweights	cwt
